name,email,dept
Mayssa Gharbi,mayssa.gharbi@acme-corp.tn,Engineering
Ahmed Trabelsi,ahmed.trabelsi@acme-corp.tn,Product
Imen Layouni,imen.layouni@acme-corp.tn,Marketing
Yassine Ben Salah,yassine.bensalah@acme-corp.tn,Sales
Rania Bouazizi,rania.bouazizi@acme-corp.tn,Design
Oussama Mansouri,oussama.mansouri@acme-corp.tn,Data
Salma Jaziri,salma.jaziri@acme-corp.tn,Finance
Hamza Khemiri,hamza.khemiri@acme-corp.tn,IT
Nour Sassi,nour.sassi@acme-corp.tn,Support
Khalil Hammami,khalil.hammami@acme-corp.tn,Legal
Sami Ferjani,sami.ferjani@acme-corp.tn,Engineering
Amira Cherif,amira.cherif@acme-corp.tn,Marketing
Wassim Belhadj,wassim.belhadj@acme-corp.tn,Sales
Ines Guesmi,ines.guesmi@acme-corp.tn,Product
Marwa Toumi,marwa.toumi@acme-corp.tn,HR
Karim Zouari,karim.zouari@acme-corp.tn,Finance
Sarra Ben Ammar,sarra.benammar@acme-corp.tn,Design
Anis Chaabane,anis.chaabane@acme-corp.tn,IT
Nesrine Rekik,nesrine.rekik@acme-corp.tn,Data
Firas Mejri,firas.mejri@acme-corp.tn,Operations
Dorra Snoussi,dorra.snoussi@acme-corp.tn,Support
Bilel Kacem,bilel.kacem@acme-corp.tn,Legal
Emna Ouertani,emna.ouertani@acme-corp.tn,Engineering
Mohamed Ali Jendoubi,mohamedali.jendoubi@acme-corp.tn,Marketing
Rim Abidi,rim.abidi@acme-corp.tn,Sales
Skander Bouzid,skander.bouzid@acme-corp.tn,Product
Manel Chebbi,manel.chebbi@acme-corp.tn,HR
Aymen Dridi,aymen.dridi@acme-corp.tn,Finance
Chaima Fendri,chaima.fendri@acme-corp.tn,Design
Zied Mabrouk,zied.mabrouk@acme-corp.tn,IT
